scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
edge_node_failures,Warehouse-M,random_modes_heuristic,default,telemetry_diagnostics,100,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,inventory_recognition,80,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,localization_slam,128,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,obstacle_detection,111,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,path_replanning,131,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,perception,86,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,telemetry_diagnostics,129,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_vcg,default,inventory_recognition,80,3.730349362740526e-14,4.662936703425658e-16,3.730349362740526e-14,4.662936703425658e-16
scalability_sweep,Warehouse-L,fixed_vcg,default,localization_slam,128,1.0658141036401503e-13,8.326672684688674e-16,1.0658141036401503e-13,8.326672684688674e-16
scalability_sweep,Warehouse-L,fixed_vcg,default,obstacle_detection,111,3.552713678800501e-14,3.200642953874325e-16,3.552713678800501e-14,3.200642953874325e-16
scalability_sweep,Warehouse-L,fixed_vcg,default,path_replanning,131,1.5143442055887135e-13,1.1559879431974911e-15,1.5143442055887135e-13,1.1559879431974911e-15
scalability_sweep,Warehouse-L,fixed_vcg,default,perception,86,2.353672812205332e-14,2.7368288514015486e-16,2.353672812205332e-14,2.7368288514015486e-16
scalability_sweep,Warehouse-L,fixed_vcg,default,telemetry_diagnostics,129,7.860379014346108e-14,6.09331706538458e-16,7.860379014346108e-14,6.09331706538458e-16
scalability_sweep,Warehouse-L,qmix_heuristic,default,inventory_recognition,77,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,localization_slam,128,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,obstacle_detection,117,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,path_replanning,131,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,perception,85,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,telemetry_diagnostics,129,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,ample_amr,default,inventory_recognition,76,3.108624468950438e-14,4.0902953538821556e-16,3.108624468950438e-14,4.0902953538821556e-16
scalability_sweep,Warehouse-L,ample_amr,default,localization_slam,128,0.35344002814219877,0.002761250219860928,0.35344002814219877,0.002761250219860928
scalability_sweep,Warehouse-L,ample_amr,default,obstacle_detection,118,6.128431095930864e-14,5.193585674517681e-16,6.128431095930864e-14,5.193585674517681e-16
scalability_sweep,Warehouse-L,ample_amr,default,path_replanning,131,1.3233858453531866e-13,1.0102182025596844e-15,1.3233858453531866e-13,1.0102182025596844e-15
